epoch,train_loss,val_loss,mean_iou,weighted_f1,iou_bg,iou_s_white_solid,iou_s_white_dashed,iou_d_white_solid,iou_d_white_dashed,iou_s_yellow_solid,iou_s_yellow_dashed,iou_d_yellow_solid,iou_d_yellow_dashed,f1_bg,f1_s_white_solid,f1_s_white_dashed,f1_d_white_solid,f1_d_white_dashed,f1_s_yellow_solid,f1_s_yellow_dashed,f1_d_yellow_solid,f1_d_yellow_dashed
1,0.24442722016062055,0.2145465819954872,0.17057656451284173,,0.9718382298966237,0.1237815701552329,0.15134754034698988,0.03347930183002239,0.0044701838152731484,0.10512275594580589,0.029005133629452604,0.10373518837289002,0.01240917662328488,1.0,0.7618877048446315,0.8081674673987645,0.36766623207301175,0.10218978102189781,0.633276740237691,0.38127090301003347,0.686010760953113,0.17134629229661627
2,0.1965898373586791,0.2028674439549446,0.1864027106574374,,0.9739444584422872,0.1544887738380237,0.16480097655212514,0.04748878353370571,0.007846081632377124,0.13594183912213043,0.006341841667088499,0.1715547107627852,0.015216930366413908,1.0,0.7828423375875636,0.8303169499310978,0.4594222833562586,0.14285714285714285,0.6684088269454123,0.1,0.8235566890795271,0.25655172413793104
3,0.18096678014312473,0.1771864445090294,0.18362031626195796,,0.97240205316506,0.1397844075927072,0.1769750630146227,0.03783616882685144,0.009947910645213397,0.1105257401789975,0.02311341178208934,0.148024204730988,0.03397388642109203,1.0,0.7726066182976464,0.8394817347489653,0.3923337091319053,0.16145833333333334,0.6555993247045583,0.30205949656750575,0.7973421926910299,0.36082474226804123
4,0.17051758779287338,0.19726725326776504,0.17913581009432447,,0.9720788885748299,0.12841700990397908,0.1617672965926516,0.028870614388417815,0.008498427012358135,0.10945944610990098,0.036283228376737635,0.1447367682079817,0.022110611682063207,1.0,0.7636157337367625,0.8174396387007121,0.31002331002331,0.15748031496062992,0.6478414336139017,0.3780821917808219,0.7800500834724541,0.2920469361147327
5,0.16263657111610685,0.17404533940553665,0.18177192349944593,,0.9714930990526609,0.14790437951202617,0.17507568948821975,0.03250744263932002,0.008666447572771123,0.10517229698902247,0.025299321094948743,0.14689590177617776,0.022932733369866287,1.0,0.7697765164952111,0.8319152630665047,0.33916849015317285,0.19148936170212766,0.6157735085945399,0.2587800369685767,0.8029258098223615,0.3599320882852292
6,0.1557183160841465,0.17311491274237634,0.2028321314977407,,0.9723218321499087,0.14704276365598049,0.18588375852805566,0.04798465180443851,0.024059499835267967,0.16020359376765936,0.038071503993299616,0.18047350317306626,0.06944807657198991,1.0,0.793547217690774,0.8518518518518519,0.4342273307790549,0.2711864406779661,0.7543160690571049,0.38333333333333336,0.845222072678331,0.5227963525835866
7,0.1495084489643574,0.1723127823293209,0.19294237790808802,,0.9727193107365362,0.15923782991500665,0.18057576981842755,0.022874496023183085,0.020370981935620414,0.12681761394609503,0.041229932233375996,0.15410866144956856,0.058546805114978846,1.0,0.7963228957196208,0.8421239251839376,0.2850909090909091,0.2546816479400749,0.6830553116769096,0.3878116343490305,0.798845836768343,0.5584045584045584
8,0.14298057317052568,0.17083738939762116,0.19982548339940742,,0.9741688465577255,0.16340618262278378,0.1898984920490531,0.04984725966606856,0.018473830596646406,0.1358575545609181,0.03761034298432996,0.18228283569434187,0.04688400586279966,1.0,0.8021038790269559,0.8508592289199537,0.45425867507886436,0.22712933753943218,0.6952155936207915,0.3526570048309179,0.8309554690877649,0.4797979797979798
9,0.1368018010352339,0.17983647145628928,0.19040643247137512,,0.9733770835636182,0.16156164687630697,0.18400968526841383,0.028437160573469178,0.009149091818988432,0.11898651487717993,0.037056441793336975,0.17283387471847456,0.028246392752588136,1.0,0.801490968173564,0.8488454706927175,0.296,0.15458937198067632,0.6677676851087255,0.35509138381201044,0.8176127778976905,0.34715821812596004
10,0.129890008102996,0.19245101581811905,0.19494364210402454,,0.9753198080173372,0.1661825216007152,0.17892026592052718,0.031105275330991784,0.003233454586574164,0.14725244458944273,0.041955195703784885,0.1829438351109297,0.027579978075917746,1.0,0.7905905905905906,0.8307908118534105,0.30784708249496984,0.07090719499478623,0.7127985303123087,0.3888888888888889,0.847682119205298,0.36293436293436293
11,0.12416727052330971,0.17939150968790055,0.20205817378952298,,0.9745306268929904,0.17257901103177467,0.19164977919848078,0.04931337306500198,0.02678634297367355,0.14058086704549197,0.04301512937206608,0.17003658382202957,0.05003185070419798,1.0,0.8091736017031159,0.8558897243107769,0.42152466367713004,0.287292817679558,0.7117930204572804,0.36883116883116884,0.8135663753641281,0.4665012406947891
12,0.11839500117727689,0.18890158966183662,0.20088985230448872,,0.9740312811038399,0.1588873372406,0.19615312284888695,0.03732060313522379,0.01456181764911028,0.1356632070533159,0.04303649588338895,0.1879639992243658,0.06039080660166721,1.0,0.7985976566103884,0.8619178082191781,0.37447698744769875,0.22058823529411764,0.6843153999430686,0.3424317617866005,0.8493518104604381,0.5281899109792285
13,0.11267937913707324,0.2030475461065769,0.19758953460357315,,0.9726698830518055,0.15392195491724917,0.1870024028728031,0.027552792297227652,0.013982369671000503,0.14639250713912874,0.05782221605106521,0.16238711607172232,0.05657456936015606,1.0,0.7918284340913293,0.8465007215007215,0.279819471308833,0.18787878787878787,0.7298086279597794,0.47232472324723246,0.7994592158630014,0.49851632047477745
14,0.10695722945673125,0.19617083088159562,0.2042711005341995,,0.9740672892003975,0.1691042454238006,0.18708101613759345,0.039893329438931355,0.021027882242419957,0.15264015675229928,0.04313529504271837,0.19701776553380898,0.05447292503582591,1.0,0.8072023752514127,0.8471063493457451,0.3538928210313448,0.24727272727272728,0.7298636926889716,0.3756906077348066,0.8480436760691538,0.48293963254593175
15,0.10268631297690528,0.2019424909055233,0.20796602559630395,,0.9751124610891478,0.17869013783856158,0.19928804671420722,0.04017248204484471,0.0186585362794253,0.1482532468263899,0.06616616300520702,0.1943593606873599,0.050993795881592266,1.0,0.8161223889379229,0.8645908761766835,0.37681159420289856,0.22950819672131148,0.7197530864197531,0.4791666666666667,0.8516360376512775,0.46534653465346537
16,0.09790319309830665,0.20824736392498017,0.20699248464326592,,0.97440044940841,0.16771480936145036,0.20303538411539032,0.04367601295427128,0.022853336494175175,0.14360593806118274,0.06062389122086211,0.19522834828888364,0.0517941918847672,1.0,0.8078817733990148,0.8628370457209847,0.394705174488568,0.2689075630252101,0.702558001189768,0.4495114006514658,0.8539019963702359,0.48186528497409326
17,0.09403488096850258,0.2245842506468296,0.21071235510716244,,0.9745864860829224,0.1637228544597683,0.2018987388074151,0.04456844144925315,0.028291609988304444,0.15253810454060096,0.07885192397116085,0.18310021294785112,0.06885282371718553,1.0,0.7989628669321234,0.8542892812555734,0.3866837387964149,0.3013698630136986,0.7288135593220338,0.5109489051094891,0.8326105810928014,0.5352941176470588
18,0.09089061193551336,0.23164373168945313,0.21171261783251036,,0.9756628786818455,0.17969576937014164,0.2051609074022154,0.04259480366230478,0.025804907786257224,0.15424473106176065,0.07678079300644408,0.18174105599192217,0.0637277135297018,1.0,0.8191312835529526,0.8631312675038395,0.38303030303030305,0.31868131868131866,0.7281826712543009,0.5149253731343284,0.8350877192982457,0.5219941348973607
19,0.08759682408869267,0.24748162407279015,0.21524628563554715,,0.9746568396513063,0.16536457495400575,0.20240088818347712,0.047027788660824056,0.02932228616204127,0.1591643940967427,0.0879792505345266,0.1963675493953877,0.07493299908161287,1.0,0.8075492748233544,0.8608117816091954,0.40540540540540543,0.32967032967032966,0.7382465057179162,0.5726141078838174,0.8546075085324232,0.5478547854785478
20,0.08505618210349764,0.2503917092204094,0.2149150810079582,,0.9753137854469174,0.1721742740597527,0.20365153663831706,0.04699290732344013,0.025538402770894118,0.16093827208394898,0.07942881842916313,0.1982211777055055,0.07197655461368453,1.0,0.8082423786225066,0.8617346022625247,0.4120734908136483,0.2857142857142857,0.732766761095373,0.4961832061068702,0.8583069262109552,0.5611940298507463
21,0.08289684127739498,0.25826265279054644,0.21560517769520132,,0.9752418570259491,0.16877951022292867,0.20723080695242646,0.046572651027657494,0.02941195761403,0.15682276991102728,0.08720837177713893,0.19753364193674194,0.07164503278891211,1.0,0.8087135377711294,0.8661545413465883,0.39845758354755784,0.3333333333333333,0.7227722772277227,0.5542168674698795,0.8558578817180121,0.5504587155963303
22,0.08132824256675585,0.2681337049305439,0.2192299630277623,,0.9758619945645467,0.1744582915210597,0.20758079147277173,0.05139624571851565,0.029620002091843015,0.16545818101968285,0.09045291716974495,0.2032835934686132,0.07495765022308283,1.0,0.8161324074954818,0.8640838074595864,0.416,0.31521739130434784,0.7455773560630428,0.549800796812749,0.8585034013605443,0.5652173913043478
23,0.08018096183368138,0.2748240846157074,0.21931718114323537,,0.9757957226506034,0.17314773962115332,0.20881398946576582,0.051213078114574484,0.031197468858808648,0.16922866495439434,0.09097127799341653,0.20021491936203686,0.0732717692683648,1.0,0.8158618726876008,0.8660714285714286,0.42441054091539526,0.3157894736842105,0.7532894736842105,0.5677966101694916,0.8595302619692864,0.5292307692307693
24,0.0794483031890222,0.27979885936379434,0.21959722475200405,,0.9758406365549593,0.17243449662434512,0.20886306939202073,0.05287457750532859,0.030996546181816194,0.16588485527077843,0.09237148842251082,0.2009428971394609,0.07616645567681639,1.0,0.8142329894955995,0.8659812573924119,0.4277456647398844,0.34146341463414637,0.7461139896373057,0.5726141078838174,0.8573357335733574,0.5471698113207547
25,0.07907333977477891,0.2800790942788124,0.22047067266973333,,0.9760143963972383,0.17383002827755717,0.20863825919668805,0.05223087604722705,0.03283107930460649,0.16655092195836294,0.093948230101966,0.2028230317734233,0.07736923097053104,1.0,0.8155745489078823,0.8656987295825771,0.4267425320056899,0.3411764705882353,0.7466753162504054,0.5774058577405857,0.8596650067904029,0.5569620253164557
