epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1641.93,1.61791,1.94265,0.95242,0.60262,0.40166,0.41589,0.22918,1.58109,1.25784,0.92281,0.00999126,0.00333042,0.00999126,0.00333042,0.00999126,0.00333042,0.00999126,0.00333042
2,3236.87,1.57916,1.27451,0.93649,0.62933,0.43359,0.45672,0.25664,1.51738,1.19295,0.91899,0.0191996,0.00639987,0.0191996,0.00639987,0.0191996,0.00639987,0.0191996,0.00639987
3,4734.3,1.6034,1.27668,0.94715,0.59006,0.41005,0.42473,0.23338,1.62411,1.28363,0.95591,0.027616,0.00920532,0.027616,0.00920532,0.027616,0.00920532,0.027616,0.00920532
4,6284.04,1.56807,1.23945,0.94556,0.63829,0.44166,0.46646,0.27969,1.39591,1.09936,0.90905,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
5,7823.71,1.49502,1.16474,0.92963,0.67042,0.46956,0.50546,0.30739,1.35187,1.02356,0.89088,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
6,9416.85,1.44601,1.11545,0.91463,0.67142,0.48952,0.52346,0.32332,1.29326,0.97076,0.87959,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
7,11032.4,1.40981,1.07586,0.90608,0.68987,0.49789,0.53892,0.33525,1.27626,0.9383,0.87287,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
8,12699.9,1.3875,1.05572,0.90166,0.68061,0.51073,0.54655,0.34363,1.25471,0.91286,0.87251,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
9,14231.7,1.36843,1.03972,0.89706,0.68797,0.52031,0.55759,0.35154,1.23726,0.9006,0.86726,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
10,15794.9,1.33876,1.01061,0.89072,0.70147,0.5254,0.5684,0.35923,1.22088,0.876,0.86211,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
11,17307.1,1.327,0.99855,0.88847,0.69222,0.53562,0.57198,0.36286,1.21626,0.86548,0.86092,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
12,18852.5,1.31496,0.97889,0.88617,0.69636,0.53997,0.57795,0.37081,1.17646,0.8582,0.85679,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
13,20403.7,1.30555,0.97148,0.8832,0.71743,0.53697,0.58603,0.37574,1.17558,0.84155,0.85628,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
14,21937.6,1.28857,0.95678,0.88051,0.71094,0.54502,0.59073,0.38025,1.15973,0.82999,0.85154,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
15,23475,1.27795,0.94526,0.87762,0.71978,0.54315,0.59463,0.38554,1.14937,0.82004,0.84898,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
16,25003.9,1.21119,0.91089,0.87752,0.72696,0.54268,0.59291,0.38465,1.14583,0.81871,0.84697,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
17,26518.3,1.20272,0.89835,0.8752,0.7168,0.5467,0.59492,0.38829,1.14203,0.81467,0.84643,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
18,28063.2,1.18886,0.88055,0.87179,0.72253,0.54836,0.59904,0.39155,1.13336,0.80609,0.84619,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
19,29567.2,1.18006,0.8704,0.87019,0.73029,0.54833,0.60242,0.39375,1.12996,0.80271,0.84495,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
20,31355.9,1.16943,0.86335,0.86802,0.73244,0.54989,0.60405,0.39586,1.118,0.7964,0.84216,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
21,33018.3,1.15229,0.84292,0.86427,0.72814,0.55369,0.60579,0.39729,1.11477,0.79284,0.84184,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
22,34524.3,1.14264,0.83319,0.86318,0.73275,0.5534,0.60812,0.39871,1.11158,0.78933,0.84158,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
23,35936.7,1.13275,0.82145,0.85919,0.72702,0.55793,0.60938,0.39977,1.10835,0.78619,0.84088,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
24,37436.6,1.11859,0.81085,0.85833,0.72711,0.55843,0.61087,0.40098,1.10638,0.7831,0.84053,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
25,38819.5,1.10769,0.79765,0.85685,0.72901,0.55876,0.61175,0.40186,1.10508,0.78139,0.84051,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
